Absolute Zero,217,100,73,0,72,186,#0048BA
Acajou,65,86,75,76,47,39,#4C2F27
Acid green,65,86,75,176,191,26,#B0BF1A
Aero,206,47,91,124,185,232,#7CB9E8
Aero blue,151,21,100,201,255,229,#C9FFE5
African violet,288,31,75,178,132,190,#B284BE
Air Force blue (RAF),204,45,66,93,138,168,#5D8AA8
Air Force blue (USAF),220,100,56,0,48,143,#00308F
Air superiority blue,205,41,76,114,160,193,#72A0C1
Alabama crimson,346,100,69,175,0,42,#AF002A
Alice blue,208,6,100,240,248,255,#F0F8FF
Alien Armpit,85,99,87,132,222,2,#84DE02
Alizarin crimson,355,83,89,227,38,54,#E32636
Alloy orange,27,92,77,196,98,16,#C46210
Almond,30,14,94,239,222,205,#EFDECD
Amaranth,348,81,90,229,43,80,#E52B50
Amaranth deep purple,328,73,62,159,43,104,#9F2B68
Amaranth pink,338,35,95,241,156,187,#F19CBB
Amaranth purple,342,77,67,171,39,79,#AB274F
Amaranth red,356,84,83,211,33,45,#D3212D
Amazon,147,52,48,59,122,87,#3B7A57
Amber,45,100,100,255,191,0,#FFBF00
Amber (SAE/ECE),30,100,100,255,126,0,#FF7E00
American rose,346,99,100,255,3,62,#FF033E
Amethyst,270,50,80,153,102,204,#9966CC
Android green,74,71,78,164,198,57,#A4C639
Anti-flash white,210,1,96,242,243,244,#F2F3F4
Antique brass,22,43,80,205,149,117,#CD9575
Antique bronze,53,71,40,102,93,30,#665D1E
Antique fuchsia,316,37,57,145,92,131,#915C83
Antique ruby,350,80,52,132,27,45,#841B2D
Antique white,34,14,98,250,235,215,#FAEBD7
Ao (English),120,100,50,0,128,0,#008000
Apple green,74,100,71,141,182,0,#8DB600
Apricot,24,29,98,251,206,177,#FBCEB1
Aqua,180,100,100,0,255,255,#00FFFF
Aquamarine,160,50,100,127,255,212,#7FFFD4
Arctic lime,72,92,100,208,255,20,#D0FF14
Army green,69,61,33,75,83,32,#4B5320
Arsenic,206,21,29,59,68,75,#3B444B
Artichoke,76,20,59,143,151,121,#8F9779
Arylide yellow,51,54,91,233,214,107,#E9D66B
Ash grey,135,6,75,178,190,181,#B2BEB5
Asparagus,93,37,66,135,169,107,#87A96B
Atomic tangerine,20,60,100,255,153,102,#FF9966
Auburn,0,75,65,165,42,42,#A52A2A
Aureolin,56,100,99,253,238,0,#FDEE00
AuroMetalSaurus,183,14,50,110,127,128,#6E7F80
Avocado,81,98,51,86,130,3,#568203
Aztec Gold,38,57,77,195,153,83,#C39953
Azure,210,100,100,0,127,255,#007FFF
Azure (web color),180,6,100,240,255,255,#F0FFFF
Azure mist,180,6,100,240,255,255,#F0FFFF
Azureish white,206,10,96,219,233,244,#DBE9F4
Baby blue,199,43,94,137,207,240,#89CFF0
Baby blue eyes,209,33,95,161,202,241,#A1CAF1
Baby pink,0,20,96,244,194,194,#F4C2C2
Baby powder,60,2,100,254,254,250,#FEFEFA
Baker-Miller pink,344,43,100,255,145,175,#FF91AF
Ball blue,192,84,80,33,171,205,#21ABCD
Banana Mania,43,28,98,250,231,181,#FAE7B5
Banana yellow,51,79,100,255,225,53,#FFE135
Bangladesh green,164,100,42,0,106,78,#006A4E
Barbie pink,327,85,88,224,33,138,#E0218A
Barn red,4,98,49,124,10,2,#7C0A02
Battery Charged Blue,194,86,84,29,172,214,#1DACD6
Battleship grey,60,2,52,132,132,130,#848482
Bazaar,353,22,60,152,119,123,#98777B
Beau blue,206,18,90,188,212,230,#BCD4E6
Beaver,22,30,62,159,129,112,#9F8170
Beige,60,10,96,245,245,220,#F5F5DC
B'dazzled blue,215,69,58,46,88,148,#2E5894
Big dip o’ruby,345,76,61,156,37,66,#9C2542
Big Foot Feet,22,61,91,232,142,90,#E88E5A
Bisque,33,23,100,255,228,196,#FFE4C4
Bistre,24,49,24,61,43,31,#3D2B1F
Bistre brown,43,85,59,150,113,23,#967117
Bitter lemon,66,94,88,202,224,13,#CAE00D
Bitter lime,75,100,100,191,255,0,#BFFF00
Bittersweet,6,63,100,254,111,94,#FE6F5E
Bittersweet shimmer,359,59,75,191,79,81,#BF4F51
Black,0,0,0,0,0,0,#000000
Black bean,10,97,24,61,12,2,#3D0C02
Black Coral,209,24,44,84,98,111,#54626F
Black leather jacket,135,30,21,37,53,41,#253529
Black olive,70,10,24,59,60,54,#3B3C36
Black Shadows,349,8,75,191,175,178,#BFAFB2
Blanched almond,36,20,100,255,235,205,#FFEBCD
Blast-off bronze,12,39,65,165,113,100,#A57164
Bleu de France,210,79,91,49,140,231,#318CE7
